neg_00000 | forge_negative | none
neg_00150 | forge_negative | none
neg_00152 | forge_negative | none
neg_00153 | forge_negative | none
neg_00155 | forge_negative | none
neg_00156 | forge_negative | none
neg_00157 | forge_negative | none
neg_00159 | forge_negative | none
neg_00160 | forge_negative | none
neg_00161 | forge_negative | none
neg_00163 | forge_negative | none
neg_00164 | forge_negative | none
neg_00165 | forge_negative | none
neg_00167 | forge_negative | none
neg_00168 | forge_negative | none
neg_00169 | forge_negative | none
neg_00170 | forge_negative | none
neg_00171 | forge_negative | none
neg_00172 | forge_negative | none
neg_00173 | forge_negative | none
neg_00175 | forge_negative | none
neg_00176 | forge_negative | none
neg_00177 | forge_negative | none
neg_00178 | forge_negative | none
neg_00179 | forge_negative | none
neg_00180 | forge_negative | none
neg_00181 | forge_negative | none
neg_00182 | forge_negative | none
neg_00183 | forge_negative | none
neg_00184 | forge_negative | none
neg_00185 | forge_negative | none
neg_00186 | forge_negative | none
neg_00187 | forge_negative | none
neg_00188 | forge_negative | none
neg_00189 | forge_negative | none
neg_00192 | forge_negative | none
neg_00193 | forge_negative | none
neg_00194 | forge_negative | none
neg_00195 | forge_negative | none
neg_00196 | forge_negative | none
neg_00197 | forge_negative | none
neg_00198 | forge_negative | none
neg_00199 | forge_negative | none
neg_00200 | forge_negative | none
neg_00201 | forge_negative | none
neg_00202 | forge_negative | none
neg_00203 | forge_negative | none
neg_00204 | forge_negative | none
neg_00205 | forge_negative | none
neg_00206 | forge_negative | none
neg_00207 | forge_negative | none
neg_00209 | forge_negative | none
neg_00210 | forge_negative | none
neg_00211 | forge_negative | none
neg_00212 | forge_negative | none
neg_00215 | forge_negative | none
neg_00216 | forge_negative | none
neg_00217 | forge_negative | none
neg_00218 | forge_negative | none
neg_00219 | forge_negative | none
neg_00220 | forge_negative | none
neg_00221 | forge_negative | none
neg_00223 | forge_negative | none
neg_00224 | forge_negative | none
neg_00225 | forge_negative | none
neg_00226 | forge_negative | none
neg_00227 | forge_negative | none
neg_00228 | forge_negative | none
neg_00230 | forge_negative | none
neg_00232 | forge_negative | none
neg_00233 | forge_negative | none
neg_00234 | forge_negative | none
neg_00235 | forge_negative | none
neg_00236 | forge_negative | none
neg_00237 | forge_negative | none
neg_00238 | forge_negative | none
neg_00239 | forge_negative | none
neg_00240 | forge_negative | none
neg_00242 | forge_negative | none
neg_00243 | forge_negative | none
neg_00244 | forge_negative | none
neg_00245 | forge_negative | none
neg_00246 | forge_negative | none
neg_00247 | forge_negative | none
neg_00248 | forge_negative | none
neg_00249 | forge_negative | none
neg_00250 | forge_negative | none
neg_00251 | forge_negative | none
neg_00252 | forge_negative | none
neg_00253 | forge_negative | none
neg_00254 | forge_negative | none
neg_00255 | forge_negative | none
neg_00256 | forge_negative | none
neg_00257 | forge_negative | none
neg_00258 | forge_negative | none
neg_00259 | forge_negative | none
neg_00261 | forge_negative | none
neg_00263 | forge_negative | none
neg_00264 | forge_negative | none
neg_00265 | forge_negative | none
neg_00266 | forge_negative | none
neg_00267 | forge_negative | none
neg_00270 | forge_negative | none
neg_00271 | forge_negative | none
neg_00272 | forge_negative | none
neg_00273 | forge_negative | none
neg_00274 | forge_negative | none
neg_00275 | forge_negative | none
neg_00276 | forge_negative | none
neg_00277 | forge_negative | none
neg_00278 | forge_negative | none
neg_00279 | forge_negative | none
neg_00281 | forge_negative | none
neg_00282 | forge_negative | none
neg_00283 | forge_negative | none
neg_00285 | forge_negative | none
neg_00287 | forge_negative | none
neg_00288 | forge_negative | none
neg_00289 | forge_negative | none
neg_00290 | forge_negative | none
neg_00291 | forge_negative | none
neg_00293 | forge_negative | none
neg_00294 | forge_negative | none
neg_00295 | forge_negative | none
neg_00298 | forge_negative | none
neg_00299 | forge_negative | none
neg_00300 | forge_negative | none
neg_00301 | forge_negative | none
neg_00303 | forge_negative | none
neg_00305 | forge_negative | none
neg_00306 | forge_negative | none
neg_00307 | forge_negative | none
neg_00308 | forge_negative | none
neg_00310 | forge_negative | none
neg_00312 | forge_negative | none
neg_00313 | forge_negative | none
neg_00314 | forge_negative | none
neg_00315 | forge_negative | none
neg_00316 | forge_negative | none
neg_00317 | forge_negative | none
neg_00318 | forge_negative | none
neg_00319 | forge_negative | none
neg_00320 | forge_negative | none
neg_00321 | forge_negative | none
neg_00325 | forge_negative | none
neg_00326 | forge_negative | none
neg_00327 | forge_negative | none
neg_00328 | forge_negative | none
neg_00329 | forge_negative | none
neg_00330 | forge_negative | none
neg_00331 | forge_negative | none
neg_00332 | forge_negative | none
neg_00334 | forge_negative | none
neg_00335 | forge_negative | none
neg_00336 | forge_negative | none
neg_00337 | forge_negative | none
neg_00338 | forge_negative | none
neg_00339 | forge_negative | none
neg_00341 | forge_negative | none
neg_00342 | forge_negative | none
neg_00343 | forge_negative | none
neg_00344 | forge_negative | none
neg_00345 | forge_negative | none
neg_00346 | forge_negative | none
neg_00347 | forge_negative | none
neg_00349 | forge_negative | none
neg_00350 | forge_negative | none
neg_00351 | forge_negative | none
neg_00352 | forge_negative | none
neg_00353 | forge_negative | none
neg_00354 | forge_negative | none
neg_00355 | forge_negative | none
neg_00356 | forge_negative | none
neg_00358 | forge_negative | none
neg_00359 | forge_negative | none
neg_00360 | forge_negative | none
neg_00361 | forge_negative | none
neg_00365 | forge_negative | none
neg_00366 | forge_negative | none
neg_00367 | forge_negative | none
neg_00368 | forge_negative | none
neg_00369 | forge_negative | none
neg_00370 | forge_negative | none
neg_00371 | forge_negative | none
neg_00372 | forge_negative | none
neg_00373 | forge_negative | none
neg_00374 | forge_negative | none
neg_00375 | forge_negative | none
neg_00376 | forge_negative | none
neg_00377 | forge_negative | none
neg_00378 | forge_negative | none
neg_00380 | forge_negative | none
neg_00381 | forge_negative | none
neg_00382 | forge_negative | none
neg_00383 | forge_negative | none
neg_00385 | forge_negative | none
neg_00386 | forge_negative | none
neg_00387 | forge_negative | none
neg_00388 | forge_negative | none
neg_00389 | forge_negative | none
neg_00390 | forge_negative | none
neg_00391 | forge_negative | none
neg_00393 | forge_negative | none
neg_00394 | forge_negative | none
neg_00396 | forge_negative | none
neg_00397 | forge_negative | none
neg_00398 | forge_negative | none
neg_00400 | forge_negative | none
neg_00401 | forge_negative | none
neg_00402 | forge_negative | none
neg_00403 | forge_negative | none
neg_00404 | forge_negative | none
neg_00405 | forge_negative | none
neg_00406 | forge_negative | none
neg_00408 | forge_negative | none
neg_00409 | forge_negative | none
neg_00412 | forge_negative | none
neg_00414 | forge_negative | none
neg_00415 | forge_negative | none
neg_00416 | forge_negative | none
neg_00418 | forge_negative | none
neg_00419 | forge_negative | none
neg_00420 | forge_negative | none
neg_00421 | forge_negative | none
neg_00422 | forge_negative | none
neg_00423 | forge_negative | none
neg_00424 | forge_negative | none
neg_00425 | forge_negative | none
neg_00426 | forge_negative | none
neg_00427 | forge_negative | none
neg_00428 | forge_negative | none
neg_00429 | forge_negative | none
neg_00430 | forge_negative | none
neg_00431 | forge_negative | none
neg_00432 | forge_negative | none
neg_00435 | forge_negative | none
neg_00437 | forge_negative | none
neg_00438 | forge_negative | none
neg_00439 | forge_negative | none
neg_00440 | forge_negative | none
neg_00441 | forge_negative | none
neg_00442 | forge_negative | none
neg_00443 | forge_negative | none
neg_00445 | forge_negative | none
neg_00446 | forge_negative | none
neg_00448 | forge_negative | none
neg_00450 | forge_negative | none
neg_00451 | forge_negative | none
neg_00453 | forge_negative | none
neg_00454 | forge_negative | none
neg_00456 | forge_negative | none
neg_00461 | forge_negative | none
neg_00462 | forge_negative | none
neg_00463 | forge_negative | none
neg_00464 | forge_negative | none
neg_00465 | forge_negative | none
neg_00466 | forge_negative | none
neg_00467 | forge_negative | none
neg_00469 | forge_negative | none
neg_00470 | forge_negative | none
neg_00471 | forge_negative | none
neg_00474 | forge_negative | none
neg_00475 | forge_negative | none
neg_00476 | forge_negative | none
neg_00477 | forge_negative | none
neg_00478 | forge_negative | none
neg_00479 | forge_negative | none
neg_00480 | forge_negative | none
neg_00481 | forge_negative | none
neg_00482 | forge_negative | none
neg_00483 | forge_negative | none
neg_00484 | forge_negative | none
neg_00485 | forge_negative | none
neg_00487 | forge_negative | none
neg_00489 | forge_negative | none
neg_00491 | forge_negative | none
neg_00492 | forge_negative | none
neg_00494 | forge_negative | none
neg_00495 | forge_negative | none
neg_00497 | forge_negative | none
neg_00498 | forge_negative | none
neg_00499 | forge_negative | none
neg_00500 | forge_negative | none
neg_00501 | forge_negative | none
neg_00502 | forge_negative | none
neg_00503 | forge_negative | none
neg_00504 | forge_negative | none
neg_00505 | forge_negative | none
neg_00506 | forge_negative | none
neg_00507 | forge_negative | none
neg_00508 | forge_negative | none
neg_00509 | forge_negative | none
neg_00511 | forge_negative | none
neg_00512 | forge_negative | none
neg_00513 | forge_negative | none
neg_00515 | forge_negative | none
neg_00517 | forge_negative | none
neg_00519 | forge_negative | none
neg_00521 | forge_negative | none
neg_00522 | forge_negative | none
neg_00523 | forge_negative | none
neg_00524 | forge_negative | none
neg_00525 | forge_negative | none
neg_00526 | forge_negative | none
neg_00527 | forge_negative | none
neg_00528 | forge_negative | none
neg_00530 | forge_negative | none
neg_00531 | forge_negative | none
neg_00532 | forge_negative | none
neg_00533 | forge_negative | none
neg_00535 | forge_negative | none
neg_00536 | forge_negative | none
neg_00537 | forge_negative | none
neg_00539 | forge_negative | none
neg_00540 | forge_negative | none
neg_00541 | forge_negative | none
neg_00542 | forge_negative | none
neg_00543 | forge_negative | none
neg_00545 | forge_negative | none
neg_00546 | forge_negative | none
neg_00550 | forge_negative | none
neg_00551 | forge_negative | none
neg_00552 | forge_negative | none
neg_00555 | forge_negative | none
neg_00556 | forge_negative | none
neg_00557 | forge_negative | none
neg_00558 | forge_negative | none
neg_00559 | forge_negative | none
neg_00560 | forge_negative | none
neg_00561 | forge_negative | none
neg_00562 | forge_negative | none
neg_00563 | forge_negative | none
neg_00564 | forge_negative | none
neg_00565 | forge_negative | none
neg_00566 | forge_negative | none
neg_00567 | forge_negative | none
neg_00568 | forge_negative | none
neg_00569 | forge_negative | none
neg_00570 | forge_negative | none
neg_00571 | forge_negative | none
neg_00572 | forge_negative | none
neg_00573 | forge_negative | none
neg_00574 | forge_negative | none
neg_00575 | forge_negative | none
neg_00576 | forge_negative | none
neg_00578 | forge_negative | none
neg_00579 | forge_negative | none
neg_00582 | forge_negative | none
neg_00583 | forge_negative | none
neg_00584 | forge_negative | none
neg_00585 | forge_negative | none
neg_00586 | forge_negative | none
neg_00587 | forge_negative | none
neg_00589 | forge_negative | none
neg_00590 | forge_negative | none
neg_00591 | forge_negative | none
neg_00592 | forge_negative | none
neg_00593 | forge_negative | none
neg_00594 | forge_negative | none
neg_00595 | forge_negative | none
neg_00596 | forge_negative | none
neg_00598 | forge_negative | none
neg_00600 | forge_negative | none
neg_00601 | forge_negative | none
neg_00602 | forge_negative | none
neg_00603 | forge_negative | none
neg_00604 | forge_negative | none
neg_00605 | forge_negative | none
neg_00606 | forge_negative | none
neg_00607 | forge_negative | none
neg_00608 | forge_negative | none
neg_00609 | forge_negative | none
neg_00610 | forge_negative | none
neg_00611 | forge_negative | none
neg_00612 | forge_negative | none
neg_00613 | forge_negative | none
neg_00614 | forge_negative | none
neg_00615 | forge_negative | none
neg_00617 | forge_negative | none
neg_00619 | forge_negative | none
neg_00620 | forge_negative | none
neg_00621 | forge_negative | none
neg_00624 | forge_negative | none
neg_00625 | forge_negative | none
neg_00626 | forge_negative | none
neg_00628 | forge_negative | none
neg_00632 | forge_negative | none
neg_00633 | forge_negative | none
neg_00635 | forge_negative | none
neg_00636 | forge_negative | none
neg_00638 | forge_negative | none
neg_00639 | forge_negative | none
neg_00640 | forge_negative | none
neg_00641 | forge_negative | none
neg_00642 | forge_negative | none
neg_00643 | forge_negative | none
neg_00644 | forge_negative | none
neg_00645 | forge_negative | none
neg_00647 | forge_negative | none
neg_00648 | forge_negative | none
neg_00649 | forge_negative | none
neg_00650 | forge_negative | none
neg_00651 | forge_negative | none
neg_00653 | forge_negative | none
neg_00654 | forge_negative | none
neg_00655 | forge_negative | none
neg_00656 | forge_negative | none
neg_00657 | forge_negative | none
neg_00658 | forge_negative | none
neg_00661 | forge_negative | none
neg_00662 | forge_negative | none
neg_00663 | forge_negative | none
neg_00667 | forge_negative | none
neg_00669 | forge_negative | none
neg_00670 | forge_negative | none
neg_00671 | forge_negative | none
neg_00672 | forge_negative | none
neg_00673 | forge_negative | none
neg_00677 | forge_negative | none
neg_00678 | forge_negative | none
neg_00680 | forge_negative | none
neg_00681 | forge_negative | none
neg_00683 | forge_negative | none
neg_00684 | forge_negative | none
neg_00687 | forge_negative | none
neg_00688 | forge_negative | none
neg_00689 | forge_negative | none
neg_00691 | forge_negative | none
neg_00692 | forge_negative | none
neg_00693 | forge_negative | none
neg_00694 | forge_negative | none
neg_00696 | forge_negative | none
neg_00698 | forge_negative | none
neg_00699 | forge_negative | none
vfp_00002 | forge_positive | defi_protection
vfp_00004 | forge_positive | reentrancy,arithmetic_oracle,access_control,input_validation
vfp_00006 | forge_positive | defi_protection,state_management,unchecked_call
vfp_00015 | forge_positive | defi_protection
vfp_00021 | forge_positive | reentrancy,access_control
vfp_00023 | forge_positive | state_management
vfp_00024 | forge_positive | reentrancy,access_control,state_management,unchecked_call,input_validation
vfp_00027 | forge_positive | state_management
vfp_00033 | forge_positive | state_management,input_validation
vfp_00035 | forge_positive | state_management
vfp_00036 | forge_positive | access_control
vfp_00037 | forge_positive | defi_protection,access_control,state_management,unchecked_call
vfp_00039 | forge_positive | arithmetic_oracle
vfp_00041 | forge_positive | state_management,unchecked_call
vfp_00042 | forge_positive | arithmetic_oracle,unchecked_call
vfp_00043 | forge_positive | arithmetic_oracle,input_validation
vfp_00044 | forge_positive | arithmetic_oracle,state_management,input_validation
vfp_00046 | forge_positive | reentrancy,arithmetic_oracle
vfp_00050 | forge_positive | reentrancy
vfp_00053 | forge_positive | arithmetic_oracle,unchecked_call
vfp_00058 | forge_positive | input_validation
vfp_00060 | forge_positive | defi_protection,state_management
vfp_00062 | forge_positive | access_control,state_management,input_validation
vfp_00063 | forge_positive | input_validation
vfp_00064 | forge_positive | arithmetic_oracle
vfp_00071 | forge_positive | defi_protection,input_validation
vfp_00072 | forge_positive | unchecked_call
vfp_00073 | forge_positive | input_validation
vfp_00075 | forge_positive | input_validation
vfp_00076 | forge_positive | state_management
vfp_00079 | forge_positive | reentrancy
vfp_00080 | forge_positive | defi_protection
vfp_00081 | forge_positive | reentrancy,arithmetic_oracle,state_management
vfp_00083 | forge_positive | reentrancy
vfp_00084 | forge_positive | arithmetic_oracle
vfp_00086 | forge_positive | reentrancy,input_validation
vfp_00087 | forge_positive | state_management
vfp_00091 | forge_positive | arithmetic_oracle,state_management
vfp_00092 | forge_positive | arithmetic_oracle
vfp_00097 | forge_positive | unchecked_call
vfp_00099 | forge_positive | reentrancy
vfp_00100 | forge_positive | state_management,input_validation
vfp_00104 | forge_positive | input_validation
vfp_00105 | forge_positive | reentrancy
vfp_00106 | forge_positive | defi_protection,unchecked_call
vfp_00110 | forge_positive | arithmetic_oracle
vfp_00112 | forge_positive | reentrancy
vfp_00116 | forge_positive | defi_protection,state_management
vfp_00122 | forge_positive | arithmetic_oracle
vfp_00124 | forge_positive | reentrancy
vfp_00125 | forge_positive | reentrancy
vfp_00126 | forge_positive | arithmetic_oracle
vfp_00133 | forge_positive | input_validation
vfp_00137 | forge_positive | arithmetic_oracle
vfp_00138 | forge_positive | arithmetic_oracle,state_management
vfp_00140 | forge_positive | defi_protection
vfp_00141 | forge_positive | arithmetic_oracle,state_management
vfp_00142 | forge_positive | state_management
vfp_00143 | forge_positive | input_validation
vfp_00144 | forge_positive | arithmetic_oracle
vfp_00145 | forge_positive | arithmetic_oracle,unchecked_call
vfp_00146 | forge_positive | arithmetic_oracle
vfp_00149 | forge_positive | arithmetic_oracle
vfp_00151 | forge_positive | state_management
vfp_00156 | forge_positive | input_validation
vfp_00160 | forge_positive | arithmetic_oracle
vfp_00161 | forge_positive | arithmetic_oracle
vfp_00162 | forge_positive | input_validation
vfp_00163 | forge_positive | input_validation
vfp_00164 | forge_positive | arithmetic_oracle
vfp_00165 | forge_positive | defi_protection
vfp_00166 | forge_positive | arithmetic_oracle
vfp_00168 | forge_positive | input_validation
vfp_00169 | forge_positive | input_validation
vfp_00170 | forge_positive | input_validation
vfp_00171 | forge_positive | arithmetic_oracle
vfp_00172 | forge_positive | arithmetic_oracle
vfp_00173 | forge_positive | input_validation
vfp_00184 | forge_positive | unchecked_call
vfp_00185 | forge_positive | state_management
vfp_00188 | forge_positive | arithmetic_oracle
vfp_00192 | forge_positive | reentrancy
vfp_00193 | forge_positive | reentrancy,arithmetic_oracle,state_management,input_validation
vfp_00196 | forge_positive | state_management
vfp_00200 | forge_positive | input_validation
vfp_00206 | forge_positive | arithmetic_oracle
vfp_00209 | forge_positive | reentrancy
vfp_00211 | forge_positive | defi_protection,state_management,input_validation
vfp_00214 | forge_positive | input_validation
vfp_00215 | forge_positive | input_validation
vfp_00217 | forge_positive | reentrancy
vfp_00218 | forge_positive | state_management,input_validation
vfp_00219 | forge_positive | input_validation
vfp_00222 | forge_positive | state_management
vfp_00223 | forge_positive | arithmetic_oracle,input_validation
vfp_00225 | forge_positive | arithmetic_oracle,state_management
vfp_00227 | forge_positive | arithmetic_oracle
vfp_00228 | forge_positive | unchecked_call,input_validation
vfp_00229 | forge_positive | state_management
vfp_00230 | forge_positive | reentrancy,input_validation
vfp_00236 | forge_positive | reentrancy
vfp_00250 | forge_positive | arithmetic_oracle,defi_protection
vfp_00251 | forge_positive | reentrancy
vfp_00253 | forge_positive | arithmetic_oracle,input_validation
vfp_00255 | forge_positive | reentrancy,arithmetic_oracle,defi_protection,state_management,unchecked_call,input_validation
vfp_00256 | forge_positive | arithmetic_oracle
vfp_00257 | forge_positive | unchecked_call
vfp_00261 | forge_positive | state_management,input_validation
vfp_00263 | forge_positive | input_validation
vfp_00265 | forge_positive | state_management
vfp_00268 | forge_positive | state_management
vfp_00273 | forge_positive | reentrancy,input_validation
vfp_00274 | forge_positive | input_validation
vfp_00276 | forge_positive | reentrancy
vfp_00280 | forge_positive | reentrancy,access_control,state_management,input_validation
vfp_00282 | forge_positive | access_control,state_management
vfp_00283 | forge_positive | arithmetic_oracle,state_management,input_validation
vfp_00286 | forge_positive | unchecked_call
vfp_00287 | forge_positive | reentrancy,arithmetic_oracle
vfp_00289 | forge_positive | arithmetic_oracle
vfp_00290 | forge_positive | arithmetic_oracle
vfp_00298 | forge_positive | arithmetic_oracle,state_management,input_validation
vfp_00301 | forge_positive | unchecked_call
vfp_00303 | forge_positive | reentrancy
vfp_00305 | forge_positive | defi_protection
vfp_00306 | forge_positive | unchecked_call
vfp_00310 | forge_positive | state_management
vfp_00311 | forge_positive | arithmetic_oracle
vfp_00312 | forge_positive | input_validation
vfp_00313 | forge_positive | input_validation
vfp_00315 | forge_positive | unchecked_call,input_validation
vfp_00316 | forge_positive | reentrancy,state_management,input_validation
vfp_00318 | forge_positive | defi_protection,input_validation
vfp_00319 | forge_positive | state_management,input_validation
vfp_00320 | forge_positive | defi_protection,access_control
vfp_00321 | forge_positive | input_validation
vfp_00322 | forge_positive | input_validation
vfp_00324 | forge_positive | access_control
vfp_00325 | forge_positive | state_management
vfp_00327 | forge_positive | access_control
vfp_00328 | forge_positive | input_validation
vfp_00337 | forge_positive | state_management
vfp_00338 | forge_positive | unchecked_call,input_validation
vfp_00339 | forge_positive | input_validation
vfp_00340 | forge_positive | input_validation
vfp_00351 | forge_positive | defi_protection
vfp_00355 | forge_positive | reentrancy
vfp_00356 | forge_positive | defi_protection,state_management
vfp_00357 | forge_positive | reentrancy,defi_protection,access_control,input_validation
vfp_00358 | forge_positive | access_control
vfp_00359 | forge_positive | input_validation
vfp_00361 | forge_positive | input_validation
vfp_00362 | forge_positive | access_control
vfp_00364 | forge_positive | reentrancy,arithmetic_oracle,defi_protection,state_management,input_validation
vfp_00372 | forge_positive | reentrancy
vfp_00374 | forge_positive | unchecked_call
vfp_00377 | forge_positive | state_management
vfp_00379 | forge_positive | state_management
vfp_00384 | forge_positive | reentrancy
vfp_00390 | forge_positive | access_control
vfp_00395 | forge_positive | access_control,state_management
vfp_00397 | forge_positive | arithmetic_oracle,input_validation
vfp_00402 | forge_positive | reentrancy,arithmetic_oracle,state_management,input_validation
vfp_00406 | forge_positive | access_control
vfp_00410 | forge_positive | input_validation
vfp_00414 | forge_positive | state_management
vfp_00419 | forge_positive | input_validation
vfp_00422 | forge_positive | reentrancy,unchecked_call
vfp_00423 | forge_positive | reentrancy
vfp_00427 | forge_positive | state_management
vfp_00428 | forge_positive | access_control
vfp_00433 | forge_positive | access_control
vfp_00443 | forge_positive | state_management
vfp_00446 | forge_positive | arithmetic_oracle
vfp_00454 | forge_positive | arithmetic_oracle
vfp_00456 | forge_positive | reentrancy,arithmetic_oracle,defi_protection,state_management,unchecked_call,input_validation
vfp_00458 | forge_positive | arithmetic_oracle
vfp_00459 | forge_positive | arithmetic_oracle,defi_protection,state_management
vfp_00460 | forge_positive | reentrancy,arithmetic_oracle,state_management
vfp_00461 | forge_positive | defi_protection
vfp_00462 | forge_positive | arithmetic_oracle,access_control,state_management,input_validation
vfp_00463 | forge_positive | reentrancy,defi_protection,state_management,unchecked_call,input_validation
vfp_00464 | forge_positive | reentrancy,defi_protection,unchecked_call,input_validation
vfp_00467 | forge_positive | arithmetic_oracle
vfp_00475 | forge_positive | reentrancy,arithmetic_oracle
vfp_00479 | forge_positive | reentrancy
vfp_00480 | forge_positive | arithmetic_oracle,input_validation
vfp_00481 | forge_positive | arithmetic_oracle
vfp_00482 | forge_positive | arithmetic_oracle,input_validation
vfp_00484 | forge_positive | state_management
vfp_00487 | forge_positive | input_validation
vfp_00489 | forge_positive | input_validation
vfp_00494 | forge_positive | defi_protection
vfp_00495 | forge_positive | arithmetic_oracle
vfp_00496 | forge_positive | access_control,input_validation
vfp_00497 | forge_positive | reentrancy,arithmetic_oracle,access_control,state_management,unchecked_call,input_validation
vfp_00500 | forge_positive | state_management
vfp_00501 | forge_positive | defi_protection
vfp_00502 | forge_positive | defi_protection
vfp_00506 | forge_positive | state_management
vfp_00507 | forge_positive | unchecked_call
vfp_00509 | forge_positive | arithmetic_oracle
vfp_00510 | forge_positive | input_validation
vfp_00512 | forge_positive | arithmetic_oracle
vfp_00513 | forge_positive | arithmetic_oracle,state_management
vfp_00515 | forge_positive | input_validation
vfp_00516 | forge_positive | state_management
vfp_00519 | forge_positive | input_validation
vfp_00525 | forge_positive | arithmetic_oracle
vfp_00526 | forge_positive | state_management
vfp_00530 | forge_positive | input_validation
vfp_00533 | forge_positive | arithmetic_oracle,input_validation
vfp_00536 | forge_positive | arithmetic_oracle
vfp_00537 | forge_positive | arithmetic_oracle,state_management
vfp_00539 | forge_positive | input_validation
vfp_00540 | forge_positive | state_management
vfp_00541 | forge_positive | reentrancy
vfp_00553 | forge_positive | input_validation
vfp_00557 | forge_positive | defi_protection
vfp_00561 | forge_positive | defi_protection
vfp_00563 | forge_positive | state_management,input_validation
vfp_00566 | forge_positive | defi_protection,unchecked_call
vfp_00567 | forge_positive | input_validation
vfp_00568 | forge_positive | input_validation
vfp_00569 | forge_positive | arithmetic_oracle
vfp_00570 | forge_positive | state_management
vfp_00573 | forge_positive | arithmetic_oracle,input_validation
vfp_00575 | forge_positive | state_management,unchecked_call,input_validation
vfp_00577 | forge_positive | defi_protection,state_management
vfp_00583 | forge_positive | input_validation
vfp_00591 | forge_positive | defi_protection
vfp_00592 | forge_positive | state_management
vfp_00596 | forge_positive | defi_protection,access_control,input_validation
vfp_00597 | forge_positive | input_validation
vfp_00599 | forge_positive | reentrancy,defi_protection
vfp_00601 | forge_positive | reentrancy,arithmetic_oracle,access_control,state_management,unchecked_call,input_validation
vfp_00607 | forge_positive | defi_protection,state_management,unchecked_call,input_validation
vfp_00612 | forge_positive | defi_protection
